DiseaseId,Disease_name
EFO_0007416,Pancreatic Endocrine Carcinoma
MONDO_0044917,T-Lymphoblastic Lymphoma
EFO_0000318,Cardiomyopathy
EFO_0009615,Ankle Fracture
EFO_0008526,Status Epilepticus
EFO_0005755,Rheumatic Disease
EFO_1000864,Cholecystolithiasis
MONDO_0021681,Sexually Transmitted Disease
EFO_0004287,Ventricular Fibrillation
EFO_0004718,Vascular Dementia
EFO_0007405,Optic Neuritis
MONDO_0018997,Noonan Syndrome
MONDO_0016586,Systemic Mastocytosis
EFO_0009260,Non-Melanoma Skin Carcinoma
EFO_1001875,Amyloidosis
EFO_0003948,Gastroesophageal Reflux Disease
HP_0001541,Ascites
Orphanet_309005,Disorder Of Lipid Metabolism
HP_0002110,Bronchiectasis
EFO_0803321,Premature Ejaculation
EFO_1000789,"Osteoarthritis, Hand"
MONDO_0002120,Neuroendocrine Carcinoma
EFO_0005856,Arthritis
MONDO_0018352,Squamous Cell Carcinoma Of Penis
EFO_0003780,Behcet'S Syndrome
EFO_0005800,Substance Withdrawal Syndrome
EFO_1001935,Adult B Acute Lymphoblastic Leukemia
EFO_1001904,Oral Mucositis
MONDO_0002959,Radiculopathy
MONDO_0023619,Lentigo Maligna Melanoma
EFO_0000272,Astrocytoma
EFO_1000292,Hepatoblastoma
EFO_1000294,Her2 Positive Breast Carcinoma
EFO_0000232,Adenoma
EFO_0009387,Peripheral Nervous System Disease
HP_0031273,Shock
EFO_0006738,Plasmacytoma
EFO_0004274,Gout
MONDO_0008667,Von Hippel-Lindau Disease
EFO_0004263,Partial Epilepsy
EFO_0004232,Eosinophilic Esophagitis
EFO_0003957,Radius Fracture
EFO_0009001,Mastocytosis
EFO_0004268,Sclerosing Cholangitis
EFO_0000553,Invasive Lobular Carcinoma
EFO_0004239,Chronic Hepatitis B Virus Infection
MONDO_0011972,Ovarian Hyperstimulation Syndrome
EFO_1001052,Myeloid Sarcoma
MONDO_0009026,Costello Syndrome
EFO_0004240,Heroin Dependence
MONDO_0001020,Amblyopia
MONDO_0016532,Lennox-Gastaut Syndrome
MONDO_0002038,Head And Neck Carcinoma
EFO_0000464,Emphysema
EFO_1000238,Endometrial Serous Adenocarcinoma
HP_0040187,Neonatal Sepsis
EFO_0008518,Polymyalgia Rheumatica
MONDO_0040678,Infiltrating Urothelial Carcinoma
EFO_1001434,Tendinopathy
EFO_0005669,Intracerebral Hemorrhage
MONDO_0004938,Substance Dependence
EFO_1001466,Graves Ophthalmopathy
EFO_0005531,Urticaria
EFO_0005297,Granulomatosis With Polyangiitis
EFO_0002500,Anaplastic Oligoastrocytoma
MONDO_0002715,Uterine Cancer
EFO_1001264,"Anemia, Hemolytic, Autoimmune"
EFO_1000764,Seborrheic Dermatitis
EFO_0006505,Chronic Bronchitis
EFO_1001467,Hypereosinophilic Syndrome
HP_0001824,Weight Loss
MONDO_0015280,Cardiofaciocutaneous Syndrome
EFO_1001857,Takayasu Arteritis
HP_0008419,Intervertebral Disc Degeneration
MONDO_0024355,Respiratory Tract Infectious Disorder
EFO_1000478,Pituitary Gland Adenoma
EFO_1001896,Lateral Epicondylitis
HP_0030839,Knee Pain
MONDO_0024503,Digestive System Neuroendocrine Neoplasm
EFO_1001219,Trigeminal Neuralgia
HP_0002039,Anorexia
MONDO_0004643,Myeloid Leukemia
EFO_1000749,Pemphigus
EFO_0004719,Pemphigus Vulgaris
HP_0002094,Dyspnea
MONDO_0019438,Al Amyloidosis
EFO_1000844,Brachial Plexus Neuropathy
EFO_1001821,Osteoradionecrosis
MONDO_0000594,Pervasive Developmental Disorder
EFO_0011023,Concussion
EFO_0004194,Iga Glomerulonephritis
EFO_1000809,Anterior Ischemic Optic Neuropathy
EFO_0003922,Menopause
EFO_1000965,Henoch-Schoenlein Purpura
EFO_1000249,Extramammary Paget Disease
HP_0001873,Thrombocytopenia
HP_0011110,Recurrent Tonsillitis
EFO_0006788,Anxiety Disorder
MONDO_0000726,Idiopathic Scoliosis
HP_0002829,Arthralgia
EFO_1000388,Myelodysplastic/Myeloproliferative Neoplasm
HP_0001945,Fever
HP_0002239,Gastrointestinal Hemorrhage
EFO_1001178,Shoulder Impingement Syndrome
EFO_0000540,Immune System Disease
EFO_0003925,Cognition
MONDO_0002146,Hypogonadism
HP_0001257,Spasticity
EFO_0007224,Coronavirus Infectious Disease
MONDO_0011934,Dermatofibrosarcoma Protuberans
Orphanet_733,Familial Adenomatous Polyposis
HP_0000016,Urinary Retention
EFO_0004143,Carpal Tunnel Syndrome
EFO_0001063,Deafness
EFO_1001413,Respiratory Syncytial Virus Infection
EFO_0008553,Femur Fracture
HP_0001742,Nasal Congestion
EFO_1001492,Atrophic Macular Degeneration
EFO_1002012,Ligament Rupture
MONDO_0017276,Frontotemporal Dementia
EFO_0000218,Acute Erythroleukemia
EFO_0000223,Acute Myelomonocytic Leukemia
EFO_0003027,Acute Myeloblastic Leukemia Without Maturation
EFO_0003757,Asperger Syndrome
EFO_0004264,Vascular Disease
HP_0012228,Tension-Type Headache
